occ_8_dig,element_ID,weight
11-1011.00,2.A.1.a,4.75
11-1011.00,2.A.1.b,4.88
11-1011.00,2.A.1.c,4.38
11-1011.00,2.A.1.d,4.88
11-1011.00,2.A.1.e,3.62
11-1011.00,2.A.2.a,4.75
11-1011.00,2.A.2.b,4.75
11-1011.00,2.A.2.c,3.88
11-1011.00,2.A.2.d,5.5
11-1011.00,2.B.1.a,4.25
11-1011.00,2.B.1.b,5.12
11-1011.00,2.B.1.c,5.0
11-1011.00,2.B.1.d,4.62
11-1011.00,2.B.1.e,3.88
11-1011.00,2.B.2.i,5.0
11-1011.00,2.B.3.a,4.25
11-1011.00,2.B.4.e,5.75
11-1011.00,2.B.4.g,5.38
11-1011.00,2.B.4.h,5.12
11-1011.00,2.B.5.a,4.75
11-1011.00,2.B.5.b,5.5
11-1011.00,2.B.5.c,4.75
11-1011.00,2.B.5.d,5.38
11-1011.00,1.A.1.a.1,4.88
11-1011.00,1.A.1.a.2,4.62
11-1011.00,1.A.1.a.3,5.0
11-1011.00,1.A.1.a.4,4.62
11-1011.00,1.A.1.b.1,4.62
11-1011.00,1.A.1.b.2,4.25
11-1011.00,1.A.1.b.3,5.0
11-1011.00,1.A.1.b.4,5.0
11-1011.00,1.A.1.b.5,5.0
11-1011.00,1.A.1.b.6,4.0
11-1011.00,1.A.1.b.7,4.12
11-1011.00,1.A.1.c.1,3.88
11-1011.00,1.A.1.c.2,4.12
11-1011.00,1.A.1.e.2,3.5
11-1011.00,1.A.1.f.2,3.88
11-1011.00,1.A.4.a.1,4.5
11-1011.00,1.A.4.b.4,4.62
11-1011.00,1.A.4.b.5,4.88
11-1011.00,2.C.1.a,6.23
11-1011.00,2.C.1.b,3.5
11-1011.00,2.C.1.c,4.36
11-1011.00,2.C.1.d,3.9
11-1011.00,2.C.1.e,5.55
11-1011.00,2.C.1.f,5.02
11-1011.00,2.C.4.a,4.23
11-1011.00,2.C.4.e,3.94
11-1011.00,2.C.6,4.45
11-1011.00,2.C.7.a,4.56
11-1011.00,2.C.8.a,3.61
11-1011.00,2.C.8.b,4.0
11-1011.03,2.A.1.a,4.25
11-1011.03,2.A.1.b,4.12
11-1011.03,2.A.1.c,4.38
11-1011.03,2.A.1.d,4.25
11-1011.03,2.A.1.e,3.38
11-1011.03,2.A.2.a,4.12
11-1011.03,2.A.2.b,3.75
11-1011.03,2.A.2.c,3.5
11-1011.03,2.A.2.d,4.12
11-1011.03,2.B.1.a,3.62
11-1011.03,2.B.1.b,3.75
11-1011.03,2.B.1.c,3.88
11-1011.03,2.B.1.d,3.25
11-1011.03,2.B.1.e,3.38
11-1011.03,2.B.1.f,3.38
11-1011.03,2.B.2.i,4.25
11-1011.03,2.B.3.a,3.38
11-1011.03,2.B.4.e,3.75
11-1011.03,2.B.4.g,3.88
11-1011.03,2.B.4.h,3.75
11-1011.03,2.B.5.a,3.5
11-1011.03,2.B.5.b,3.38
11-1011.03,2.B.5.d,3.75
11-1011.03,1.A.1.a.1,4.5
11-1011.03,1.A.1.a.2,4.38
11-1011.03,1.A.1.a.3,4.62
11-1011.03,1.A.1.a.4,4.38
11-1011.03,1.A.1.b.1,4.12
11-1011.03,1.A.1.b.2,4.0
11-1011.03,1.A.1.b.3,4.25
11-1011.03,1.A.1.b.4,4.5
11-1011.03,1.A.1.b.5,4.25
11-1011.03,1.A.1.b.6,3.62
11-1011.03,1.A.1.b.7,3.62
11-1011.03,1.A.1.c.1,3.25
11-1011.03,1.A.1.c.2,3.25
11-1011.03,1.A.4.a.1,3.5
11-1011.03,1.A.4.b.4,3.62
11-1011.03,1.A.4.b.5,3.62
