"","element_ID","skill_Cluster","gen_related"
"1","1.A.1.a.1","General","General"
"2","1.A.1.a.2","General","General"
"3","1.A.1.a.3","General","General"
"4","1.A.1.a.4","General","General"
"5","1.A.1.b.1","Intermediate","Nested Intermediate"
"6","1.A.1.b.2","Intermediate","Nested Intermediate"
"7","1.A.1.b.3","General","General"
"8","1.A.1.b.4","General","General"
"9","1.A.1.b.5","General","General"
"10","1.A.1.b.6","General","General"
"11","1.A.1.b.7","General","General"
"12","1.A.1.c.1","Intermediate","Nested Intermediate"
"13","1.A.1.c.2","Intermediate","Nested Intermediate"
"14","1.A.1.d.1","Intermediate","Nested Intermediate"
"15","1.A.1.e.1","Intermediate","Nested Intermediate"
"16","1.A.1.e.2","Intermediate","Nested Intermediate"
"17","1.A.1.e.3","Intermediate","Un-nested Intermediate"
"18","1.A.1.f.1","Specific","Un-nested Specific"
"19","1.A.1.f.2","Intermediate","Un-nested Intermediate"
"20","1.A.1.g.1","Intermediate","Nested Intermediate"
"21","1.A.1.g.2","Intermediate","Un-nested Intermediate"
"22","1.A.2.a.1","Intermediate","Un-nested Intermediate"
"23","1.A.2.a.2","Intermediate","Un-nested Intermediate"
"24","1.A.2.a.3","Intermediate","Un-nested Intermediate"
"25","1.A.2.b.1","Intermediate","Un-nested Intermediate"
"26","1.A.2.b.2","Specific","Un-nested Specific"
"27","1.A.2.b.3","Specific","Un-nested Specific"
"28","1.A.2.b.4","Specific","Un-nested Specific"
"29","1.A.2.c.1","Specific","Un-nested Specific"
"30","1.A.2.c.2","Specific","Un-nested Specific"
"31","1.A.2.c.3","Specific","Un-nested Specific"
"32","1.A.3.a.1","Specific","Un-nested Specific"
"33","1.A.3.a.2","Specific","Un-nested Specific"
"34","1.A.3.a.3","Specific","Un-nested Specific"
"35","1.A.3.a.4","Intermediate","Un-nested Intermediate"
"36","1.A.3.b.1","Specific","Un-nested Specific"
"37","1.A.3.c.1","Specific","Un-nested Specific"
"38","1.A.3.c.2","Specific","Un-nested Specific"
"39","1.A.3.c.3","Specific","Un-nested Specific"
"40","1.A.3.c.4","Specific","Un-nested Specific"
"41","1.A.4.a.1","General","General"
"42","1.A.4.a.2","Intermediate","Nested Intermediate"
"43","1.A.4.a.3","Intermediate","Un-nested Intermediate"
